DateTime,IR_Therm_C,Ra_Wm2,Wind_ms,Ta_C,VapP_kPa,Pa_kPa
7/14/2018 21:15,,0,1.12,23.9,1.9,97.79
7/14/2018 21:30,,0,1.12,23.9,1.95,97.79
7/14/2018 21:45,,0,1.1,23.8,1.95,97.8
7/14/2018 22:00,,0,1.42,23.8,1.95,97.79
7/14/2018 22:15,,0,1.21,23.6,1.97,97.77
7/14/2018 22:30,,0,0.81,23.7,1.94,97.77
7/14/2018 22:45,,0,1.13,23.8,1.91,97.78
7/14/2018 23:00,,0,0.99,23.7,1.91,97.78
7/14/2018 23:15,,0,0.92,23.6,1.91,97.78
7/14/2018 23:30,,0,1.42,23.3,1.92,97.77
7/14/2018 23:45,,0,1.36,22.9,1.96,97.76
7/15/2018 0:00,,0,1.09,23.2,1.92,97.76
7/15/2018 0:15,,0,1.36,23.4,1.9,97.76
7/15/2018 0:30,,0,1.23,23.3,1.92,97.75
7/15/2018 0:45,,0,1.29,23.2,1.91,97.75
7/15/2018 1:00,,0,0.87,23,1.93,97.74
7/15/2018 1:15,,0,1.25,23,1.92,97.73
7/15/2018 1:30,,0,0.98,22.8,1.94,97.72
7/15/2018 1:45,,0,0.93,22.8,1.94,97.71
7/15/2018 2:00,,0,0.83,22,2.03,97.72
7/15/2018 2:15,,0,0.91,21.8,2.02,97.72
7/15/2018 2:30,,0,0.66,21.9,2.06,97.74
7/15/2018 2:45,,0,0.97,22,2.03,97.75
7/15/2018 3:00,,0,0.91,22,2.03,97.76
7/15/2018 3:15,,3,0.55,21.5,2.11,97.76
7/15/2018 3:30,,17,0.43,21.4,2.15,97.77
7/15/2018 3:45,,47,0.62,22.5,2.02,97.76
7/15/2018 4:00,,81,0.81,22,2.11,97.75
7/15/2018 4:15,,57,0.73,22.3,2.12,97.77
7/15/2018 4:30,,73,0.82,22,2.13,97.76
7/15/2018 4:45,,84,0.47,22.1,2.18,97.75
7/15/2018 5:00,,96,0.18,22.3,2.23,97.75
7/15/2018 5:15,,109,0.28,22.7,2.24,97.76
7/15/2018 5:30,,131,0.27,22.8,2.32,97.77
7/15/2018 5:45,,129,0.38,23,2.37,97.78
7/15/2018 6:00,,224,0.43,23.5,2.36,97.74
7/15/2018 6:15,,404,0.35,24.5,2.45,97.71
7/15/2018 6:30,,440,0.22,25.8,2.47,97.72
7/15/2018 6:45,,497,0.51,26.4,2.3,97.7
7/15/2018 7:00,,539,0.5,26.9,2.29,97.69
7/15/2018 7:15,,576,0.67,26.9,2.19,97.66
7/15/2018 7:30,,611,0.35,28,2.2,97.66
7/15/2018 7:45,27.89,646,0.78,27.4,2.15,97.66
7/15/2018 8:00,28.48,672,0.39,28.3,2.19,97.66
7/15/2018 8:15,28.31,715,0.83,28.1,2.18,97.66
7/15/2018 8:30,28.61,739,0.89,28.2,2.19,97.67
7/15/2018 8:45,29.06,798,0.8,28.9,2.28,97.66
7/15/2018 9:00,26.97,451,0.88,28.3,2.18,97.66
